WTeam,LTeam,Prob,Games,Incorrect
Alabama,Arizona,30.22%,,
Alabama,Arizona St,45.83%,,
Alabama,Arkansas,41.71%,,
Alabama,Auburn,30.22%,,
Alabama,Bucknell,69.78%,,
Alabama,Buffalo,66.14%,,
Alabama,Butler,54.17%,,
Alabama,Cincinnati,23.66%,,
Alabama,Clemson,33.86%,,
Alabama,Col Charleston,45.83%,,
Alabama,Creighton,45.83%,,
Alabama,CS Fullerton,73.18%,,
Alabama,Davidson,62.29%,,
Alabama,Duke,23.66%,,
Alabama,Florida,37.71%,,
Alabama,Florida St,50.00%,,
Alabama,Georgia St,73.18%,,
Alabama,Gonzaga,30.22%,,
Alabama,Houston,37.71%,,
Alabama,Iona,73.18%,,
Alabama,Kansas,20.77%,,
Alabama,Kansas St,50.00%,,
Alabama,Kentucky,33.86%,,
Alabama,Lipscomb,73.18%,,
Alabama,Long Island,45.83%,,
Alabama,Loyola-Chicago,58.29%,,
Alabama,Marshall,66.14%,,
Alabama,Miami FL,37.71%,,
Alabama,Michigan,26.82%,,
Alabama,Michigan St,26.82%,,
Alabama,Missouri,45.83%,,
Alabama,Montana,69.78%,,
Alabama,Murray St,62.29%,,
Alabama,NC Central,45.83%,,
Alabama,NC State,50.00%,,
Alabama,Nevada,41.71%,,
Alabama,New Mexico St,62.29%,,
Alabama,North Carolina,23.66%,,
Alabama,Ohio St,33.86%,,
Alabama,Oklahoma,54.17%,,
Alabama,Penn,76.34%,,
Alabama,Providence,54.17%,,
Alabama,Purdue,23.66%,,
Alabama,Radford,76.34%,,
Alabama,Rhode Island,41.71%,,
Alabama,S Dakota St,62.29%,,
Alabama,San Diego St,58.29%,,
Alabama,Seton Hall,45.83%,,
Alabama,SF Austin,69.78%,,
Alabama,St Bonaventure,58.29%,,
Alabama,Syracuse,58.29%,,
Alabama,TCU,37.71%,,
Alabama,Tennessee,26.82%,,
Alabama,Texas,54.17%,,
Alabama,Texas A&M,41.71%,,
Alabama,Texas Tech,26.82%,,
Alabama,TX Southern,76.34%,,
Alabama,UCLA,45.83%,,
Alabama,UMBC,76.34%,,
Alabama,UNC Greensboro,66.14%,,
Alabama,Villanova,20.77%,,
Alabama,Virginia,20.77%,,
Alabama,Virginia Tech,45.83%,E,X
Alabama,West Virginia,33.86%,,
Alabama,Wichita St,30.22%,,
Alabama,Wright St,69.78%,,
Alabama,Xavier,20.77%,,
Arizona,Arizona St,66.14%,,
Arizona,Arkansas,62.29%,,
Arizona,Auburn,50.00%,,
Arizona,Bucknell,84.20%,,
Arkansas,Butler,62.29%,E,X
Arizona,Butler,73.18%,,
Arizona,Cincinnati,41.71%,,
Arizona,Clemson,54.17%,,
Arizona,Col Charleston,66.14%,,
Arizona,Creighton,66.14%,,
Arizona,CS Fullerton,86.30%,,
Arizona,Davidson,79.23%,,
Arizona,Duke,41.71%,,
Arizona,Florida,58.29%,,
Arizona,Florida St,69.78%,,
Arizona,Georgia St,86.30%,,
Arizona,Gonzaga,50.00%,,
Arizona,Houston,58.29%,,
Arizona,Iona,86.30%,,
Arizona,Kansas,37.71%,,
Arizona,Kansas St,69.78%,,
Arizona,Kentucky,54.17%,,
Arizona,Lipscomb,86.30%,,
Arizona,Long Island,66.14%,,
Arizona,Loyola-Chicago,76.34%,,
Arizona,Marshall,81.85%,,
Arizona,Miami FL,58.29%,,
Arizona,Michigan,45.83%,,
Arizona,Michigan St,45.83%,,
Arizona,Missouri,66.14%,,
Arizona,Montana,84.20%,,
Arizona,Murray St,79.23%,,
Arizona,NC Central,66.14%,,
