WTeam,LTeam,Prob,Games,Incorrect
Alabama,Arizona,29.79%,,
Alabama,Arizona St,23.01%,,
Alabama,Arkansas,46.49%,,
Alabama,Auburn,26.36%,,
Alabama,Bucknell,72.48%,,
Alabama,Buffalo,68.92%,,
Alabama,Butler,47.21%,,
Alabama,Cincinnati,18.89%,,
Alabama,Clemson,41.95%,,
Alabama,Col Charleston,15.49%,,
Alabama,Creighton,47.81%,,
Alabama,CS Fullerton,75.57%,,
Alabama,Davidson,62.08%,,
Alabama,Duke,16.48%,,
Alabama,Florida,36.84%,,
Alabama,Florida St,42.10%,,
Alabama,Georgia St,72.30%,,
Alabama,Gonzaga,24.28%,,
Alabama,Houston,40.06%,,
Alabama,Iona,75.49%,,
Alabama,Kansas,19.34%,,
Alabama,Kansas St,40.08%,,
Alabama,Kentucky,38.95%,,
Alabama,Lipscomb,81.47%,,
Alabama,Long Island,32.16%,,
Alabama,Loyola-Chicago,53.97%,,
Alabama,Marshall,65.07%,,
Alabama,Miami FL,35.33%,,
Alabama,Michigan,27.23%,,
Alabama,Michigan St,33.90%,,
Alabama,Missouri,64.59%,,
Alabama,Montana,63.24%,,
Alabama,Murray St,56.03%,,
Alabama,NC Central,32.25%,,
Alabama,NC State,40.76%,,
Alabama,Nevada,41.24%,,
Alabama,New Mexico St,59.05%,,
Alabama,North Carolina,21.47%,,
Alabama,Ohio St,36.05%,,
Alabama,Oklahoma,60.13%,,
Alabama,Penn,79.83%,,
Alabama,Providence,53.76%,,
Alabama,Purdue,24.24%,,
Alabama,Radford,71.19%,,
Alabama,Rhode Island,36.34%,,
Alabama,S Dakota St,65.16%,,
Alabama,San Diego St,61.66%,,
Alabama,Seton Hall,46.27%,,
Alabama,SF Austin,66.27%,,
Alabama,St Bonaventure,59.97%,,
Alabama,Syracuse,50.71%,,
Alabama,TCU,44.54%,,
Alabama,Tennessee,30.56%,,
Alabama,Texas,51.08%,,
Alabama,Texas A&M,44.61%,,
Alabama,Texas Tech,22.16%,,
Alabama,TX Southern,85.42%,,
Alabama,UCLA,23.20%,,
Alabama,UMBC,82.55%,,
Alabama,UNC Greensboro,61.99%,,
Alabama,Villanova,14.84%,E,
Alabama,Virginia,14.81%,,
Alabama,Virginia Tech,55.59%,,
Alabama,West Virginia,25.33%,,
Alabama,Wichita St,32.76%,,
Alabama,Wright St,70.65%,,
Alabama,Xavier,23.14%,,
Arizona,Arizona St,41.32%,,
Arizona,Arkansas,67.18%,,
Arizona,Auburn,45.75%,,
Arizona,Bucknell,86.12%,,
Arizona,Butler,67.82%,,
Arizona,Cincinnati,35.43%,,
Arizona,Clemson,63.00%,,
Arizona,Col Charleston,30.17%,,
Arizona,Creighton,68.34%,,
Arizona,CS Fullerton,87.94%,,
Arizona,Davidson,79.41%,,
Arizona,Duke,31.73%,,
Arizona,Florida,57.89%,,
Arizona,Florida St,63.14%,,
Arizona,Georgia St,86.01%,,
Arizona,Gonzaga,43.04%,,
Arizona,Houston,61.16%,,
Arizona,Iona,87.89%,,
Arizona,Kansas,36.10%,,
Arizona,Kansas St,61.18%,,
Arizona,Kentucky,60.05%,,
Arizona,Lipscomb,91.20%,,
Arizona,Long Island,52.77%,,
Arizona,Loyola-Chicago,73.42%,,
Arizona,Marshall,81.44%,,
Arizona,Miami FL,56.28%,,
Arizona,Michigan,46.85%,,
Arizona,Michigan St,54.72%,,
Arizona,Missouri,81.13%,,
Arizona,Montana,80.21%,,
Arizona,Murray St,75.02%,,
Arizona,NC Central,52.86%,,
Arizona,NC State,61.84%,,
Arizona,Nevada,62.31%,,
Arizona,New Mexico St,77.26%,,
Arizona,North Carolina,39.18%,,
Arizona,Ohio St,57.05%,,
Arizona,Oklahoma,78.03%,,
Arizona,Penn,90.31%,,
Arizona,Providence,73.26%,,
Arizona,Purdue,42.98%,,
Arizona,Radford,85.34%,,
Arizona,Rhode Island,57.35%,,
Arizona,S Dakota St,81.51%,,
Arizona,San Diego St,79.12%,,
Arizona,Seton Hall,66.98%,,
Arizona,SF Austin,82.23%,,
Arizona,St Bonaventure,77.92%,,
Arizona,Syracuse,70.80%,,
Arizona,TCU,65.42%,,
Arizona,Tennessee,50.91%,,
Arizona,Texas,71.10%,,
Arizona,Texas A&M,65.49%,,
Arizona,Texas Tech,40.14%,,
Arizona,TX Southern,93.25%,,
Arizona,UCLA,41.57%,,
Arizona,UMBC,91.77%,,
Arizona,UNC Greensboro,79.35%,,
Arizona,Villanova,29.11%,,
Arizona,Virginia,29.06%,,
Arizona,Virginia Tech,74.68%,,
Arizona,West Virginia,44.42%,,
Arizona,Wichita St,53.45%,,
Arizona,Wright St,85.01%,,
Arizona,Xavier,41.50%,,
Arizona,Buffalo,83.94%,,
Arizona St,Arkansas,74.40%,,
Arizona St,Auburn,54.49%,,
Arizona St,Bucknell,89.81%,,
Arizona St,Buffalo,88.12%,,
Arizona St,Butler,74.95%,,
Arizona St,Cincinnati,43.80%,,
Arizona St,Clemson,70.74%,,
Arizona St,Col Charleston,38.02%,,
Arizona St,Creighton,75.40%,,
Arizona St,CS Fullerton,91.19%,,
Arizona St,Davidson,84.56%,,
Arizona St,Duke,39.76%,,
Arizona St,Florida,66.12%,,
Arizona St,Florida St,70.86%,,
Arizona St,Georgia St,89.72%,,
Arizona St,Gonzaga,51.76%,,
Arizona St,Houston,69.10%,,
Arizona St,Iona,91.15%,,
Arizona St,Kansas,44.51%,,
Arizona St,Kansas St,69.12%,,
Arizona St,Kentucky,68.10%,,
Arizona St,Lipscomb,93.64%,,
Arizona St,Long Island,61.33%,,
Arizona St,Loyola-Chicago,79.69%,,
Arizona St,Marshall,86.17%,,
Arizona St,Miami FL,64.64%,,
Arizona St,Michigan,55.59%,,
Arizona St,Michigan St,63.18%,,
Arizona St,Missouri,85.92%,,
Arizona St,Montana,85.20%,,
Arizona St,Murray St,81.00%,,
Arizona St,NC Central,61.43%,,
Arizona St,NC State,69.71%,,
Arizona St,Nevada,70.13%,,
Arizona St,New Mexico St,82.83%,,
Arizona St,North Carolina,47.78%,,
Arizona St,Ohio St,65.35%,,
